"pump_status","sensor_readings__|","sensor_readings__|__ldr","sensor_readings__|__pump_status","sensor_readings__|__soil_moisture","sensor_readings__|__temperature","sensor_readings__|__timestamp"
"","1382","2301","False","550","24.625","1382"
"","1386","2266","False","547","24.5625","1386"
"","1390","2288","False","549","24.5625","1390"
"","1395","2295","False","549","24.5","1395"
"","1400","2299","False","547","24.5625","1400"
"","1405","2273","False","549","24.5","1405"
"","1409","2304","False","548","24.5","1409"
"","1414","2305","False","553","24.5","1414"
"","1418","2305","False","551","24.5","1418"
"","1422","2271","False","551","24.4375","1422"
"","1426","2271","False","551","24.4375","1426"
"","1430","2305","False","551","24.4375","1430"
"","1435","2305","False","553","24.4375","1435"
"","1440","2322","False","551","24.4375","1440"
"","1444","2318","False","549","24.4375","1444"
"","1448","2315","False","551","24.375","1448"
"","1455","2299","False","553","24.375","1455"
"","1459","2310","False","550","24.4375","1459"
"","1464","2301","False","551","24.375","1464"
"","1470","2307","False","551","24.375","1470"
"","1474","2320","False","551","24.375","1474"
"","1479","2320","False","549","24.375","1479"
"","1483","2288","False","549","24.375","1483"
"","1488","2320","False","547","24.3125","1488"
"","1493","2293","False","549","24.3125","1493"
"","1497","2293","False","550","24.3125","1497"
"","1501","2326","False","551","24.375","1501"
"","1506","2320","False","551","24.3125","1506"
"","1510","2301","False","551","24.3125","1510"
"","1514","2319","False","551","24.3125","1514"
"","1519","2275","False","548","24.25","1519"
"","1523","2309","False","548","24.25","1523"
"","1527","2302","False","552","24.25","1527"
"","1531","2274","False","550","24.3125","1531"
"","1536","2343","False","549","24.25","1536"
"","1541","2310","False","545","24.25","1541"
"","1546","2341","False","547","24.25","1546"
"","1550","2325","False","550","24.1875","1550"
"","1555","2318","False","545","24.1875","1555"
"","1559","2320","False","549","24.1875","1559"
"","1563","2335","False","545","24.1875","1563"
"","1568","2343","False","550","24.1875","1568"
"","1572","2319","False","544","24.1875","1572"
"","1576","2329","False","542","24.125","1576"
"","1581","2351","False","549","24.1875","1581"
"","1585","2353","False","550","24.125","1585"
"","1589","2321","False","547","24.1875","1589"
"","1593","2337","False","547","24.125","1593"
"","1598","2369","False","548","24.1875","1598"
"","1602","2354","False","549","24.125","1602"
"","1606","2366","False","551","24.125","1606"
"","1611","2359","False","548","24.125","1611"
"","1615","2335","False","551","24.125","1615"
"","1619","2364","False","544","24.125","1619"
"","1624","2365","False","546","24.125","1624"
"","1628","2346","False","549","24.0625","1628"
"","1635","2362","False","546","24.0625","1635"
"","1639","2341","False","547","24.0625","1639"
